Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
All,Chrome 69.0.3497.100,,2018-10-29 14:44:28,2018-10-29 14:51:16,6m - 47.742s,FAILED
,,,,,,
Test Cases/Common/ContributerEsbToken,Chrome 69.0.3497.100,Esb token for login with different users,2018-10-29 14:44:29,2018-10-29 14:45:02,33.350s,PASSED
dbConnectionPackage.DBConnectionKeyword.CloseConnections,Chrome 69.0.3497.100,,2018-10-29 14:44:29,2018-10-29 14:44:39,10.105s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 14:44:39,2018-10-29 14:44:46,6.678s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-29 14:44:46,2018-10-29 14:44:49,2.971s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:44:49,2018-10-29 14:44:49,0.289s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:44:49,2018-10-29 14:44:50,0.157s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:44:50,2018-10-29 14:44:53,3.445s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-29 14:44:53,2018-10-29 14:44:53,0.311s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 14:44:53,2018-10-29 14:44:54,0.566s,PASSED
"Statement - s = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.executeJavaScript(""return document.documentElement.innerHTML;"", null)",Chrome 69.0.3497.100,,2018-10-29 14:44:54,2018-10-29 14:44:54,0.376s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:44:54,2018-10-29 14:44:55,0.810s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:44:55,2018-10-29 14:44:55,0.002s,PASSED
"Statement - startString = s.lastIndexOf(""esbApiToken"") + ""esbApiToken"".length() + 1",Chrome 69.0.3497.100,,2018-10-29 14:44:55,2018-10-29 14:44:55,0.004s,PASSED
Statement - substring = s.substring(startString),Chrome 69.0.3497.100,,2018-10-29 14:44:55,2018-10-29 14:44:55,0.003s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:44:55,2018-10-29 14:45:01,5.766s,PASSED
"Statement - lenght = substring.indexOf("","")",Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.005s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.003s,PASSED
"Statement - esb = substring.substring(0, lenght)",Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.002s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.002s,PASSED
"Statement - esbapitoken = esb.subSequence(2, esb.length() - 1)",Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.007s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.001s,PASSED
Statement - ContributerToken = esbapitoken,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.002s,PASSED
Statement - decoded = new java.lang.String(javax.xml.bind.DatatypeConverter.parseBase64Binary(esbapitoken)),Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.019s,PASSED
"Statement - decoded = decoded.substring(decoded.indexOf(""}{"") + 1)",Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.002s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.003s,PASSED
Statement - jsonSlurper = new groovy.json.JsonSlurper(),Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.007s,PASSED
Statement - object = jsonSlurper.parseText(decoded.toString()),Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.021s,PASSED
Statement - userId = personid,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.008s,PASSED
Statement - userName = sub,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.003s,PASSED
Statement - ContributerID = userId,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.001s,PASSED
Statement - ContributerUser = userName,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:01,0.371s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-29 14:45:01,2018-10-29 14:45:02,0.633s,PASSED
,,,,,,
Test Cases/Common/ModeratorEsbToken,Chrome 69.0.3497.100,Esb token for login with different users,2018-10-29 14:45:02,2018-10-29 14:45:29,27.253s,PASSED
dbConnectionPackage.DBConnectionKeyword.CloseConnections,Chrome 69.0.3497.100,,2018-10-29 14:45:02,2018-10-29 14:45:12,10.010s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 14:45:12,2018-10-29 14:45:18,5.390s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-29 14:45:18,2018-10-29 14:45:18,0.823s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:45:18,2018-10-29 14:45:19,0.213s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:45:19,2018-10-29 14:45:19,0.180s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:45:19,2018-10-29 14:45:21,1.715s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-29 14:45:21,2018-10-29 14:45:21,0.343s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 14:45:21,2018-10-29 14:45:21,0.560s,PASSED
"Statement - s = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.executeJavaScript(""return document.documentElement.innerHTML;"", null)",Chrome 69.0.3497.100,,2018-10-29 14:45:21,2018-10-29 14:45:22,0.322s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:22,2018-10-29 14:45:23,0.762s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:23,2018-10-29 14:45:23,0.004s,PASSED
"Statement - startString = s.lastIndexOf(""esbApiToken"") + ""esbApiToken"".length() + 1",Chrome 69.0.3497.100,,2018-10-29 14:45:23,2018-10-29 14:45:23,0.002s,PASSED
Statement - substring = s.substring(startString),Chrome 69.0.3497.100,,2018-10-29 14:45:23,2018-10-29 14:45:23,0.001s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:23,2018-10-29 14:45:28,5.555s,PASSED
"Statement - lenght = substring.indexOf("","")",Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.002s,PASSED
"Statement - esb = substring.substring(0, lenght)",Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.003s,PASSED
"Statement - esbapitoken = esb.subSequence(2, esb.length() - 1)",Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.003s,PASSED
Statement - g_ModeratorToken = esbapitoken,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
Statement - decoded = new java.lang.String(javax.xml.bind.DatatypeConverter.parseBase64Binary(esbapitoken)),Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
"Statement - decoded = decoded.substring(decoded.indexOf(""}{"") + 1)",Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
Statement - jsonSlurper = new groovy.json.JsonSlurper(),Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
Statement - object = jsonSlurper.parseText(decoded.toString()),Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
Statement - userId = personid,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.000s,PASSED
Statement - userName = sub,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
Statement - g_NameTemp = userId,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.000s,PASSED
Statement - g_PassTemp = userName,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.001s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:28,0.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:45:28,2018-10-29 14:45:29,0.407s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-29 14:45:29,2018-10-29 14:45:29,0.586s,PASSED
,,,,,,
Test Cases/Common/EsbToken,Chrome 69.0.3497.100,,2018-10-29 14:45:29,2018-10-29 14:45:55,25.639s,PASSED
dbConnectionPackage.DBConnectionKeyword.CloseConnections,Chrome 69.0.3497.100,,2018-10-29 14:45:29,2018-10-29 14:45:39,10.010s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 14:45:39,2018-10-29 14:45:45,5.363s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-29 14:45:45,2018-10-29 14:45:46,0.717s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 14:45:46,2018-10-29 14:45:51,5.003s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:45:51,2018-10-29 14:45:51,0.194s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:45:51,2018-10-29 14:45:51,0.199s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:45:51,2018-10-29 14:45:53,1.783s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-29 14:45:53,2018-10-29 14:45:53,0.312s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 14:45:53,2018-10-29 14:45:54,0.589s,PASSED
"Statement - s = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.executeJavaScript(""return document.documentElement.innerHTML;"", null)",Chrome 69.0.3497.100,,2018-10-29 14:45:54,2018-10-29 14:45:54,0.337s,PASSED
